Message,Reply
"Evening
My bad forgot there were two 9 o'clocks","Nah I don’t think so. Faith is flying back Sunday morning so have to pack and stuff
Sorry broski"
You wanna gym again tomorrow ?,Shit sorry can’t do today. Got a lot to do in prep for the Moore thing
Are you free Friday night after work for a braai at Raul ?,"Shit sorry to do this again but I’m feeling sick so not even going into work tmrw 
So probably won’t be able to come"
So nothing special ,How’s uni going?
"What’s up man
Are you coming to the cricket tomorrow ?","Hello pookie
Nah got dinner with family friends tmrw evening so can’t make it"
"If we do pres at my house you should come bro
If you can","Shit man I’m not too sure if I can make it tmrw
They coming over at 3"
"Hi there - we can't wait to help you out!
Sometimes - usually if we have lots of clients needing us all at once - it takes us a little longer than we'd like to get a WhatsApp helper chatting to you.
We'd love to chat, but if at any time you don't need our help any more, please reply with CLOSE and we'll end this chat. We promise we wont take it personally.
Thanks for your patience!
Good day , how can I assist you today?","Hi, I have fibre network in newinbosch estate, stellenbosch and it is down"
"We apologize for any troubles caused , I will be with you shortly
Please confirm your ID number
Are you still there?
Thank you , I will be with you shortly
Are you still there?",Yes
"I understand you may need a bit more time to get back to me. Once you're ready to continue this chat, please message us back and we'll do our best to assist you.
Hi there - we can't wait to help you out!
Sometimes - usually if we have lots of clients needing us all at once - it takes us a little longer than we'd like to get a WhatsApp helper chatting to you.
We'd love to chat, but if at any time you don't need our help any more, please reply with CLOSE and we'll end this chat. We promise we wont take it personally.
Thanks for your patience!",Hi my fibre network is not working 
"Good Day, I hope you are well.
I apologize for the inconvenience caused.  Please hold while I locate your account. I will be with you shortly.
Please show me the lights on your fibre box?","All the lights on the fibre box are correct, the problem is with the router"
"Please unplug your ONT(fibre box) and router for at least 5 mins, I will then refresh your line. Please inform me when you have unplugged.",They are unplugged  thank you
"Thank you, please power back on at 09:12
Thank you for your patience. Please plug back in, give both devices up to 2 mins to power up and kindly test if you have internet.",Hi the router is still the same colour
"Okay no problem, let us troubleshoot further, do you have access to another phone or a laptop?",Yes
"Okay, please connect to the router WiFi on another device and open your web browser
On the web browser please type in tplinkwifi.net and hit search
If you are using another phone please ensure that mobile data is off
Are you still there?
Are you managing?","Hi thank the problem is sorted
Close"
"Do you have internet on your devices?
Do you need assistance with anything else at the moment?
Are you still there?",I’m all good thanks for the help
Kindly advise if you able to provide the proof of payment of the R700.,"Hi, I have not paid any money to the wallet. The problem is that you guys have charged me  R700 ontop of the electricity I’ve used this month so far. So now I owe you R1200 but I am not paying any money until the reason for the R700 charge is clarified or fixed"
"https://www.livewalletportal.co.za/client-zone/ledger
Kindly view your wallet ledger where you are able to view the energy charge and all data.","Yes this does not help. If I look at the ledger, I have a negative balance from before I moved in"
"Good morning Nicholas. Will you be at the unit this morning, glass guys wants to do the replacement this morning, would it be possible?","Hi Cindy, what time do they want to do it? Do I have to be here for it?"
They cancelled again. ,"Hi Cindy, has the window been fixed? If not, do you know when they’ll be finished. Thank you!"
Hi Nicholas,"Hi Cindy, I’m not going to be there today but you’re obviously very welcome to do the inspection without me there. I’ve left the key to get onto the patio in the gate"
Please just Daniel use your correct FZF nm when paying on your behalf. Thanks,Is it fine if he used just my reference number when paying? 
"Hi there Nicholas, Please can you let me know today whether you'll be renewing or not, You can reply to my email sent on the 15the of July or just whatsapp me, please.  Thank you","Hi Cindy,"
Thanks Nicholas. We'll be there at . I appreciate,"Hi Cindy, is it still in for 10?"
"Hey Nic 
Is Foo with you? She tried to ring me earlier but her phone has been off since","She’s just finished writing her chem exam :) her phones going to die and is going out for drinks so switched her phone off so it doesn’t die
Hope works been going well!!"
"Lol
Thank you",Pleasure :)
"Hey Nic
I found the perfect Santa gift for faith from you and me","I’ve been threatening to buy her one 
I think that’s a great present"
Hey Nic,Hi yes
Woolies is 2 mins away,Oookay will be ready. Thanks Jayde
Did it arrive ,Yes all good 
Hellllo love of my life,"Hellooo it’s fine we sorted it
Needed the license plate number but I found it in the car
We filling in forms to enter the place we on the way to so needed it quick but we good"
"Lol
We will make a plan
Send me a video",I send now when agent leaves
Annie,Yes
"Did you meet the girl
That wants your room","I diddd
This morning"
"Hey Nic
Wishing you the happiest happiest birthday 
Hope you have the absolute best day today",Thanks so much Jayde 
Hi Nick Happy Birthday   I hope it was fun,Thanks Em!
what you doing today?,"Math
P1
You?"
"I don't believe it needs to be adapted
It basically just pushes true or false onto the stack given the expression
I use use it only in parse_expr",I think my code is buggy somewhere else
are you having a problem where it always evaluates to true?,Yeah
"interesting, I have just encountered that issue","I figured my main issue is because in a if statement if it’s a comparison between and int and an identifier that’s an int, it’s not loading the identifier value properly
But I’m really not sure"
"gonna look for this issue, will let you know if i find it","I’ve got mine working
It was gen_2_label
I can send mine to you if you want?
Or just explain what I had to change"
"i got it too
code[ip].type = CODE_LABEL | CODE_OPERAND;
CODE_OPERAND was missing
did you do that too?
hell yeah
team work
sorta",I hate how one little thing like that can take so long to fix 
"i wonder how many people had this issue haha
took me way too long to check the bytecode cause that answered everything
I think understanding whats going on is the hardest part, and thats been harder than all the other hand ins except maybe typechecking
but the implementation is relatively quick i think, debugging is just trippy
that is, once you've figured out whats going on","Do you by any chance also have a problem where for example in your simpl file
Obviously no rush to respond, just curious if you having this too"
wil have a look in a biit,Ok well if you have that problem I’ve figured it out so just let me know
"I would really appreciate that, thank you",She has ecos notes if you still looking!
"Nicholas
It’s muhammed sorry bro
But I wanted to know if you’re down for padel soon","Whatsup muhammed :)
Definitely down to play sometime soon"
"I was checking for this evening since we have tomorrow off
But that might be a bit soon so you just lmk what works for you",Don’t feel like working 
"Okay I couldn’t get anyone looks like most people are studying
I can try for tomorrow and see if I can make something happen sorry about that bro","Nah no stress at all
Tmrw sounds good too"
Okay I’ll try is the morning good ?,"I can’t do before 1 sorry
But anytime after that I’m keen"
"MATCH IN AFRICA PADEL VAN DER STEL
Shit I didn’t even confirm with you
8pm was the best I could do","Nah nah that works for me 
See you at 8 :)"
"Nic my guy
Do you wanna play padel tomorrow b","For suuure
I’m so down
What time?"
"What works for you bro ?
Okay wait
We need to pick another day it’s raining tomorrow",I’m pretty easy next week. Can’t do Friday - Sunday though… gonna be in Cape Town
"Uhhh
Is 5 good for you ?","Yeah that works, might be a little late…"
No stress brother,"Leaving now, will be there in 10 mins
Here brother"
"Once again bro thank you so so much for helping it means a lot
I will most definitely be seeing you this weekend",No ways I’m letting you build a desk without me
"Nicholas
My brother
Aka the 
There is an unbuilt shelf in my room
I’ve had it for a little bit but
I said I can’t go on without my brother","Making me blush
after next week tuesday im free
and keen to build that shit
hand in hand"
How’s today bro ?,"Sorry brother a few things came up so I can’t make it today
Does Saturday work?"
happy birthday Nic!! i hope you’ve had an amazing day so far,Thank you Jess 
"Howzit boetie, how’s it going?","Howzit brother, it’s starting at 5 
Forgot to send a message on the group "
"Hi,yes I got them thanks","could you please send them to me too?
thank you !!"
"Hey
Do you have FAF 3 by any chance
The questions","I’m not too sure, I’m just quickly submitting my project and then will go back on windows and check
I have a feeling someone sent it on the group when it came out… I might be wrong though"
"Thank you Nic   
Pls tell faith I said happy birthday
I cannot find her number",And told me to tell you happy birthday  
"Are you gonna write the paper tomorrow
I don’t think I can
It’s too much of information in such a short time for me","O shit I didn’t see the message
Ye I decided that I’m gonna. After doing the tuts again realised I know enough to write
You still not going to?"
"I heard that shi was easy
Anyway what did you get for A1",So I didn’t find it that easy
"I just gotta bang that A2 I fucking hate the maths group
I’m assuming that you got the epsilon delta thingy right","They all suck
How’s OR graft been?"
"It was right but it was jumbled around
If the epsilon delta is right then my avg is 90",We’ll done
Cool,So if it isn’t too late she can come tomorrow
I’m assuming you’re not driving,Nah
"Ok cool
Dylan is driving and I asked him to put you n faith in his car
Can you just confirm w him",Kk
Leaving now,"Thanks for last night
I had a great time honestly
What you been up to? How’s the work gone?"
"But I should start Ecos sometime this week because there’s a lot
How’d you do in the A1?","I don’t blame you
I’m so behind
So not bad
But not great
How’d you do?"
Shit bro do you just do 11% better than me in everything,Why you think you struggling? Stress?
"Idk maybe
But I can’t fucking sleep I woke up today at 1-2 pm",Shit that’s horrible
Yeah,"I think best bet is if you go to a doctor, tell them you struggling and then they’ll give a a prescription for string sleeping tablets
And then you use that to help fix your sleep
That’s what I had to do"
"How’d you do for LA
And please tell me how to study for it in the most time effective way
Cause I’ve only been doing AC
Imma start LA tn","Ye I’m not writing the math a2’s
I’m skipping
Focused on math stats too much so literally know nothing"
"That’s fair
You should’ve skipped maths stays
Stats
Like everyone else
But this math is way too much work bruh like I’m struggling learning ts","Yeah I decided I’d rather try make sure I pass math stats
And then can worry about math after ecos
Made the most sense"
Horrible so bad,"Damn
Dylan also said it was crazy hard
How you feeling for the one tomorrow
?"
"I’ve only done week one and 2 of it
Imma grind the whole thing today
Depending how I feel I’ll decide if I wanna write it
But it’s gonna be tough","Because you wrote the other A2
You have to write both"
"Laerskool
Stellenbosch
I’m so confused what Yall meant by Highschool stellies cause the Highschool is right across and nobody is there
Idk if it’s at laerskool","http://www.elections.org.za
Put your id in here and check where it says"
"Bro it’s laerskool but it’s all one thing since they’re next to eachother
Same station
I say go now the line is at it’s shortest","We here
At laerskool"
A while ago,How’s ecos going
I didn’t realize chapter 16 was the week they did during term 2,"No ones responded
Surely mapalo has them??"
"Aweh lemme actually ask him
But I like like well fleshed out notes a girl made on her ipad
So
I’m making good time now since I found this one YT channel I haven’t touched the textbook
I finished chapter 4 in 2 hrs and half of chapter 5 in 1. My plan is. Finish Chapter 5 & 9 today and just do macro exam questions because Ecos exams are so diff from theory","But I don’t think we gonna get that
Also see if he has the tutoring 6 micro memo
So atleast we can do that tut"
"You have macro Tut 1 answers
?",Do you have tut 6 micro memo??
Did you pass maths stats,Yessirrr
"Yo
I’m in DatSci next semester, idk how don’t even ask. But do you think I should like take it or tell them I’m not supposed to and wait for next year?","You lose nothing
I don’t see any negative to doing it"
Well apparently natasha emailed and she’s getting removed,Damn
And otherwise it’ll be invalid in 2024 so I rather remove it as well,"Thats wield
Wild *"
"Hi
Sorry for replying late , but no. But I’m gonna go regardless.
If you want to join me on tomorrows one","Yeah I’m not going to ecos this year
Literally gonna buy bites and then grind at home
Don’t have enough time to do it too"
"Yo, Josh told me today you guys are moving into a digs next year . First of all that’s cool AF
Secondly
Do yk how much your boy Kiran is gonna be charging rent for in Beau Vie?","Crazy prices
How’s this semester been so far?"
"Good
Cause I’m actually doing it more than 30 mins before submission",How much is the first hand in? A lot of work?
Sorry for late reply was debugging,And how’s ecos going??
"Yo Nic
Where are you moving next year ?
I heard out of stellies . I’m tryna look for a 1 bedroom somewhere too
Maybe out of stellies cause it’s cheaper","Places are only going to start coming up for December in October
The only thing is you need a car if your further out of stellies"
"Okay cool
Yeah I’m tryna convince Josh and maps to move or of stellies w me",Just have to keep looking at property 24 and all the websites
"It’s becoming a choice of choosing quality of life over being close to campus
Like the rents too high","That’s why I’m moving
It’s not worth it anymore
Rents gone up like 2k in the last 2 years"
"We can submit an essay multiple times right, just to check out the plagiarism score?",Apparently you can
"Thank you 
Do you wanna do something tonight
Like get a 6 pack of beer and drink in Bordeaux","Nah sorry I’m playing paddle later and have to work now
We should do something soon though
How’s your work been going?"
do you have chapter 1 & 2 for monetary policy?,"Nah
Just read the book
Isn’t there gonna be multiple choice for that section?
That’s what I’m hoping for"
"Same
Gonna fail  for sure","Were you writing?
Where *"
"Annex
You?","Vds
How you feeling about the paper?"
"Not confident at all
I don’t even wanna write it
But I don’t wanna stay here until end of November either
It’s weird because it’s not like the other Ecos modules. This is just straight theory, no graphs nothing
No real calculations
Imma just try and pass this paper and do better in the A2",Goodluck bb
"How do you feel
Easy distinc","Nah lol
Got math stats tmrw
And comp sci hand in tmrw
Ecos low priority
Low-key cooked"
Damn did you just read the stuff,"I read it a lot of times though
Been reading over the stuff since the beginning of the Holliday"
Besides CS I have no other excuse to not do well at this im just not taken to these topics,"Low-key
I wish there was more practical stuff
Like calculations"
"Yo man, do you by chance have the chess game project from last year
I can’t recall how to implement GUI and so all that stuff with tKinter . That’s literally all I have to do now
If you do could you please send it to me I’m not gonna steal any code or anything I just need to see how it all worked out and do it w my bee game","Oh shit yeah I don’t have it any more sorry
I had a problem with Ubuntu at the beginning of this year and had to pretty much clear everything"
"Damnit 
Ok thanks tho",How’s the project going ?
"Eh I did ok
Wasn’t expecting anything great tbh
65 essay 64 A1
You","I did better than I thought I would
They just have been nice with the marking for a1
Because I made a lot of stuff up"
"How was it ?
I didn’t like it tbh
Trade wasn’t bad but Monetary was sketch",Writing a3 instead
"I really wish i did that  but I alr booked my flight and mentally prepped myself to go home asap
For some reason they focused so much on earlier stuff and so little on the rest
There was one question dedicated to CBs and then the rest were all like earlier chapters
Barely anything to do w like the good stuff like money supply and exchange rates",So you don’t rate it’s worth it to focus on past papers?
Yup,You done with exams?
Nope I got 2 more,How they’ve been going?
"It’s going fine
How’s Math stats
Does it ever get easier","Shit gets harder
Might fail this one"
"Bro is finally done w exams
Also
I made maths stats",So good
Did you pass,So you start next semester?
Wanted to be in a class w you,"How you feeling for it?
Might still
Might be stuck in the next one for a while"
"Can’t wait to see you on your birthday though
When you in stellies",when you going back to stellies?
"I wanna hang out we need to just chill more in stellies
Like at Josh’s apt and stuff
Where you staying ?","agreed
I got a place in Newinbosch
dont know if you know of it
got a two bedroom apartment with faith
you doing math stats this semester?"
"eThat’s insan
How’d your rents allow that
Like first year","wasnt social enough last year
crazy"
"Brunik
If I get a 12 month contract at Maties and let’s say I’m not here for June/July and I freeze my account will it count those months in the 12 months or will it negate it","So it adds and extra month on the end of your contract
If that makes sense
You gonna come to Maties?"
Tomorrow,In class
I beg you bro call me back,"I can call at 11
That work?
312"
"Let’s hang tn you me Josh Dylan
Just relax nothing insane
After 5?","Sorry bb
Going to gym with Ross and then celebratory dinner  with faith
For passing her drivers"
"Are you dual booting windows and Linux
Or using a VM",Faith is using vm
Which is better,"I think both are fine
Depends what you want
Faith want to play games in windows"
My desk is also broken if you ever want to spend time w me,"is it actually broken?
i always want to spend time with you"
"The leg is slanting I think like a nail is just loose or something
But it’s a pretty big issue","Sounds serious
I guess I’ll have to come help fix it"
Yo I’m feeling quite a bit better,"That’s good
What was it?
Flu?"
Yes,"Do you and Arya want to play paddle this week?
If you feeling better?"
Yeah I’d love to but we’re ass,"Yeah that’s fine
Just for fun
When works for you guys?"
Yeah we’re in,Think tmrw will work
"Cool 
Let’s do it","Yeah tmrw works for us
I’ll book"
"W w w
Let me sort out Aryas Varsity Vibe discount",What time? In the evening?
"Yeah what time does the VV thing stay valid till
And also did you and Faith enable yours cause you have to do that for the new year",I’m getting the form thing that you have to fill out for it if you want
I thought Africa Padel,Club pastels discounts for students are better usually
"Did you book, how do you get the discount ?","Will now, it takes like a week for the discount to register"
Brrr,Maybe I book for 7?
"How much will it be split
Lowkey broke now at end of the month",You let me know
"Or
And you can hear me out here
You and faith call Africa Padel van der stel
And register with varsity vibe
Then it’s R50 per person with racket included ?
If you call now it’ll be done by tomorrow morning and we can book it",What time you want to play?
Accept my invite & Get 3 freebies!,Is crazy
"This is the cutest thing ever
I want to rename her
To nga",Who’s that ?
Admin A,"Can I ask the people there about he is
Hemis
I can’t figure out how to calculate it"
"Yeah
They’ll tell you
Basically hemis don’t matter as long as you pass everything in a year","I dropped
2 modules"
Wow,so extending by a year
"That’s huge
And how’d they allow it","no wait 3 total this year
and then taking 2 honours mosules next year
so will go on my academic transcript saying i withdrew from the module"
Are you allowed to take any honors modules without first completing all 3rd year modules,i emailed prff mostert
So what are you taking this year,he said as log as you meet the requirements you can do them
"Terrible
I didn’t listen to you
And now I have 2 chapters and 4 days till i write
And it’s faiths birthday tomorrow","Always remember you can skip
If you not confident at all
Because a3 doesn’t replace a mark
Just changes weighting"
"Oh that’s insane
I think I might survive. After today I’ll see if I can survive","Fair enough
If you in a rush you can also just go through tuts
Will give you enough to pass"
"Yeah I spent too much time on learning the work rather than practicing
So like I studied it and then when I tried doing a tutorial I was like wtf
Did you use the textbook
Any YouTube channels?",Not really
How’d you learn,"Your usually smarter than the people doing the yt vids
Learning how to do each type of question"
Through GPT?,"Yeah
Gpt is king for stats"
Makes sense,Paste the question and the memo in and ask it to explain
Love that,Usually does really well
"Ah these all suck dick
Damn","I got ones from the previous year
Hold up"
"Thanks, only these 4???",Those are the only 4 he explicitly told us to learn the proof of
Unreal thanks,No problem 
Hey Nic! We are still busy LOL  we will see you guys on Saturday,"Goodluck
See you Saturday !"
"heyyy, R50 for all 6!",Ok cool cool. I’ll definitely like to buy. Could you send you bank details :)
"Ofc!! thank you so much :)
just send proof of payment and i’ll send them through to you :)",Thank you!!
"Hi Nicholas, Gloria here from Tears Cattery. I see your application in our pending application is possible to know are you still interested to adopt a cat or kitten from us. ","Hi Gloria, thanks for the message. I ended up getting a cat from another adoption place. Thanks very much"
U going to the math tut?,what time is the test?
Not sure but I think I’ll go at like closer to 11,"I checked and apparently it’s at 11:30
So I’ll go just before then"
"Awe
Which class is it in?",not sure
Jan muton 1013,"Is it not math sci?
Someone on the group said that
You on campus?
Just got here"
Well I’m in the Jan with Natasha and Morgan rn,"I’m coming
Which floor
1013?"
Are u gonna write?,"Ye I rate I will
Decided I’ve done enough of the work
You ?"
"Yeah I’m writing
I’ve just reached the point where I’ve done everything I can so I’m just waiting for the test now
And I ain’t doing operations or compsci rn","I’m doing tutoring 5
Then I’m done"
"I don’t mind going a bit earlier, I’m bored as hell rn","Awe I’ll be ready in like 5ish mins
I’ll let you know when I leave"
Awe,Leaving now
Awe,Here
Coming,Did you use the prim alogorithm from algs4 ?
All I’ve done so far is print dots to standard draw in the area of the dimensions  like 3x3 will have 9 dots,"Honestly no idea
They didn’t explain the tut very well"
Yeah not even chatgbt could understand what to do,You going to comp sci tut?
Yeah I’m at the neelsie getting food first,"Where you?
You in class?"
Nope,"Why not?
Valid though"
"Just don’t
I’ll come pick u up at half past",Lmk when you here
Leaving now,You here?
Yeah just got here,"Do you still have my mattress thingy?
Roxy wants to use it"
"Awe I just got here
We about to write","I’m probably gonna go to gym at like 10:15
So if you also wanna go early we hit tris together or worst case we do something another time"
I’m not gonna go to gym I have rugby training this evening,"Ah bro
Math stats "
I’m gonna walk to the tut at 13:45,"I’m leaving now
Your message didn’t come through sorry"
For the project in which file do u put the word list,"Did you use the wordlist? I’m not sure
Did we have to add anything to the readme text file?"
Yeah I’m here,Still down for 11?
Leaving now,Leaving now too
What time u wanna hit back tomorrow,"11 ?
If you rate?"
About to leave now,I’m leaving now
Yeah,"You gotta lock in dylan
Get off you phone
That’s the first problem"
I’m gonna go tomorrow before the maths tut to check the maths stats A1,I’ll join
Lmk when u leave,"Awe gonna leave in 5 mins
Just left"
Back at 11 right,Yessir
Leaving now,Leaving now
About to leave,I’m leaving now
Warming up upstairs,"I’m here
Just need to pee"
Legs at 11?,"Fuck no
Arms for the win"
How did ur LA A1 go? I got cooked somehow,"Yeah wasn’t amazing
But not that bad
I got 62.5"
What time u gyming,Rest day today
Am I correct in saying that we don’t need to know the pivotal method in chapter 8,"According to the WhatsApp group at least
But I’m not learning it"
If u gyming tomorrow what time and what u gyming,"I’m gonna go in at around 12 when the cleaners come and I’m literally just gonna do side raises and calves 
What you doing??"
Do u know if they’ve said if we can go collect our LA A1 for math yet,King fu panda 4 goes hard
What time u gonna walk to the test,You tell me
1:15?,Awe
Lmk when u leave,Leaving
"My mom said I can do whatever I decide, so I’ll probably skip Thursday
Which ppl did u buy ur notes from","Like I buy from specific people
None of those group things"
"Damn well if u know anyone who would have good maths notes can u send me their number
And can u send me ur math stats tutors details","You going to gym today??
I’m here now"
How was the test,"Not great
Hoping I got enough method marks to push me through
How was math???
Heard it was hard ?"
"Maybe not
The paper was awfully made weird as hell, the question were also confusing just the way they worded them","Damn
Not valid
How you feeling for the one tomorrow?"
What time u going to vote tomorrow bc I’m also at laerskool Stellenbosch then at least we can keep each other company in the line,I’ll let you know the exact time when I know
"Yessir
Just tell me when you’re about to leave and I’ll walk over to ur place",Will let you know
How was ur math stats mark?,"Bro
Actually quite happy with it
Method marks came in clutch"
"So I assume u passed, I wanna be like u when I’m older well done man",Yeah I did thankfully
What time u going to gym today,"Oh shit didn’t see message
Just got here now
Hitting legs, you already done?"
Nah I got here now only,How was operation research?
It was chilled I only studied this morning for it and copied the person in front of me for the questions I didn’t know,How’s the math stats going?
"Just missed it
I think I did really bad in the calculus one","Shit unlucky
Goodluck for math stats"
Can you send me ur landlords details,How was math stats ??
I just sub the root of x^2 + z^2 into x is that right?,"Nah I got a method that works
Just trying to find it"
Awe,"If that makes sense
Let me know if it doesn’t"
Yeah that makes sense shot,"Was the epsilon proof with a multivariate function
?
What time you want to walk?"
U left yet?,"Yeah
Just"
Gonna leave in like 5 mins,"Awe I’m here
Doing calves"
Yeah what time?,Any time from 9am onwards works for me
10?,Sounds good
Same,"Can you send me tut 7 question 2 workings out
I can’t figure it out"
"I remember that question when I was studying for the A2 and I also had no clue
There might have been something on the math group about it",We cooked
Lmk when u leave,I’ll leave at 13:10?
Awe,Leaving now
Can you come at 12 to take me?,Yeah sure
Thanks bby,"I’m leaving now but no rush
Happy to wait outside for a bit"
"Yeah
U going to data science?",Yeah
"Wanna walk down together, meet at like 7:50",Sounds good
Lmk when u leave,"Leaving in 3 mins
Leaving now
Left
On route
Walking"
What time u gonna walk to data science,12:50?
Awe,Leaving now
My bad,You going to comp sci?
Meet at 7:50? To go to compsci,"I don’t think I’m going 
Gonna read the slides at home
For today"
What time?,"Not sure yet
Ross is keen
Trying to see if other people are also down"
Awe but I can’t play from 5 onwards,You going out?
"I got invited to some massive pre drinks thing and I told the guy in person that I’ll be there
I don’t mind playing tomorrow either",You going to comp sci tut?
"Yeah
Have you looked at the tut yet, is there anything we should do beforehand for it","Maybe just sort of know how to set up a basic c program like hello world
Incase he gives a spot test"
"Awe
What time u wanna walk down
Answer me lil ",13:53:42
Bet,"Leaving now
Faiths walking too"
"Surely we wait for each other outside of compsci
Like whoever gets there first",Okay pookie
Lmk when data science finishes so I can start walking,You should probably leave now
What time u gyming?,Went while you were at operations
Awe,You going to comp sci?
Yeah,I’ll wait outside
When are u gyming back day? Bc I left my straps in jozi,"For gym
But I’m gyming back Friday
Can even get Ross to come"
Yesssss,Awe let’s message him
Lmk when u leave for compsci,"Awe
Probably 7:50?"
Awe,Leaving now
"I’m gonna go at like 11
I have a tut at 2",Damn
So which time then 10 or 11,"I rate
But don’t mind"
10:30?,"Gonna be 5 mins late
Start without me"
I just got here so we’ll warm up while we wait,What time you going to comp sci?
"What time u wanna walk?
Answer me ",13:50?
"Awe
Lmk when u leave",Leaving now
What time u gonna gym today,"I’m already here
Quick session
Sorry didn’t see the message
What time you gonna go?"
Meet at 7:50?,7:52?
Awe just way when u leave,"I’ve left
On way"
"Wanna walk at 8:50?
Or are u at data science
Awe lmk when u leave",Just left
"What time u wanna gym tomorrow
I rate like around 10","I can only do 10:30
Have math stats till 10"
Are u going to compsci?,"Yeah
You?"
"Yessir
Lmk when u leave",Leaving now
Yeah,K I’m leaving
"Do we have to make a doxygen comment above each function?
Nvm I just saw on the group I don’t have to","I’ve already submitted, just going to double check everything
You?"
I’m just doing style check and the plagiarism thing,"I’m almost there
Save me seat if you can"
"8:50?
Are u gonna go to compsci?","Awe
I’m gonna leave in 3 mins"
Awe,Just left
I’ve even saved training arms for today like u oaks told me last week,"I’m not training arms
I need to get my staps from Ross
Wasn’t able to do back yesterday so doing that today
Don’t know what Ross is doing"
How did ur project mark go?,"Good
Yours?"
"Yeah good aswell
Did they say they not finished with the style checking?
Bc I only lost marks on the style check and idk where I lost them",Like if you didn’t use recursion in pass comment
"Yeah I know but I used recursion, overflow check and did binary search
I’ll wait and see what he says tomorrow in class","You’re the only person in the class to get all of them
I got that one wrong that they talking about in the group"
Oh I’ll double check then,Well done
7:50?,"Leaving in 2 mins
Just left
Where you?
Nevermind"
What do u do when on the EBNF it has a [,"It can be there
But doesn’t have to be"
So for exit you’ll just go ,"And then only call expression
Just follow the EBNF completely"
I saw you walking by the robot but I was on the other side of the road,You going to your tut?
Just getting some food I’ll be there soon,How was the nap?
"I didn’t have it
I’m at the stadium watching rugby","Do you still have my flash drive
The Ubuntu one"
"Do u have a dentist?
Down here","Nah
Why ?"
"The right side of my face swelled up today bc one of the places a wisdom tooth got taken out is getting sore
So I need to go check if it’s not an infection","Shit
You still gonna come to class?"
"Yeah
Do you have a buff I could use",With this weather
"So are u guys moving out next year?
Of banghoek",Yeah why??
I just wanted to know if you could maybe refer me to take over your room to the estate agent,"They’re already sold out
Sorry boss"
U going to compsci?,"Yeah I think so
Worst case I just read over the project spec
You?"
Lmk when u leave,Imma leave in 2 mins
Awe,Just left
"I’m not gonna be ready by then but u can go
I’m gonna do arms and shoulders rather",Ok yeah I had to change my times too. I’m going to go at like 5
Even me I’m gonna go later,"When you going!
?*"
"I’m here
I saw u come in, I was mid set
I’m by the dumbbell rack by the bench presses",Where’d you go?
"I’m by the benches again
In the corner by the mirror
Did u dip already","Yeah sorry
Went looking for you
Couldn’t find you"
Where in the textbook is the answer for the compsci question,"It’s under cache in the textbook
Gives a formula"
"7:50?
Or just tell me when u leave",Just left
"What time u gonna be at the gym until, bc I need ur straps pls","Just got here now
Will be here for like 45 mins
I could also drop them off in my way back"
I’ll be there soon,"The parking is pretty full
For some reason"
Maybe class will end now and it’ll be more empty by the time I get there,When you getting here?
What time u going to the tut,Probably 2
"Awe same
Lmk when ur close to leaving","Gonna leave in like 5 mins
Leaving now"
Coming,Can I get my straps from you at like 10:30 ?
"Damn I just woke up
Yeah u can come whenever","Awe I’m coming jow
I’ll be there in a minute"
8:50?,"I don’t think I’m going today
Studying for data science"
Road to under 10mins starts now,"What was your answers for the homework ?
You don’t have to send working out I just want to double check answers"
"Can’t lie I haven’t started them, I’m busy studying for operations",You going to comp sci?
"Yeah my bad I woke up a bit late
I just bumped into Josh in the hallway we gonna walk now",Awe I just left
Must we wait for u?,"Where you
How far?"
"What time u gonna go to the narga, I want to go early to practice a bit
Which narga are u writing in?",Maybe 11
Lmk when ur leaving,Probably gonna be around 11:05
Awe,Leaving now
What time u gyming today,"Writing math stats
So not
Or maybe after
Have you been already!
?*"
"U only write at 5:40 right
Just thinking what time you would finish then but it’s probably gonna be too late",What you hitting on Thursday?
"No sure
Not",Absolutely epic
"Nah
Wanna hit chest tomorrow?","What you hitting tmrw?
7:55?
You going to comp sci?"
"Yeah
Awe just lmk when u leave","I’ll leave in like 2 mins
Leaving now"
I just finished,What time you going to class?
"I just got back now so imma shower then eat first
So probably like close to 3
If u go before that pls save me a seat","You going to comp sci?
There’s gonna be a test
Most probably"
Yeah,Ok cool
8:55?,Bet
Coming,"I am actually going now
To gym
Forgot cleaners were coming"
What u gonna hit,Legs
Thanks broski,"Sorry bro, not going to be able to make the braai, have a data science meeting and gang work to get through. Enjoy though"
U going to compsci?,"Nah
You ?"
Yeah imma go,"You going to tutor?
Tut*"
U going to compsci in this weather?,"No ways
You?"
U going to compsci?,"Nah don’t think so
You?"
Yeah I’m gonna go,Was there a test?
Are u going to the tut bc apparently there’s no test,"Yeah think I might
There a chance he gives attendance thing
Feel like he would"
Any word of a test?,"Nah no test
Or register"
Can you ask kian if has last years A1,He didn’t right last year 
"Oh shit
Does he know anyone that could plug us last years A1",What’d you get for 2022 Q)e for multiple choice
200Mips,How’d you calculate it?
"K303
And u?","K302
Where even are these places 
Nevermind
I know"
It’s where we have lectures,I’m just dumb
No ur actually awesome,"Stawwwwp
You wanna walk together?"
Awe 17:15?,Don’t we start at 17:30?
"Isnt it always 17:40
Awe then we’ll walk just after 5
Lmk when u leave",I’ll leave at 5
Awe,You ready?
"I’m ready but Josh wanted to walk with us just after 5 and I’m not sure if he is
U can leave so long and I’ll go check if he’s ready",Awe
